8790 26251
7883 6364 -31
2596 783 -37
3586 8321 150
3865 2855 -73
6417 7757 -873
7761 2538 -727
8120 7533 92
2068 2997 495
7964 2307 -569
5831 6181 431
2661 6434 -654
3391 8384 319
1828 6881 -82
8709 3317 -646
4818 3944 188
3254 2945 -322
6524 6824 -134
3479 5269 -909
4018 5909 -951
6078 4581 -372
6621 2782 524
7512 3123 -13
7864 5164 589
3927 275 -738
6949 7988 -327
8298 8695 -766
3956 615 -253
3825 7634 112
1518 5510 495
3274 6724 -782
7495 6641 166
7685 8332 979
649 8242 -356
2714 2687 620
7234 686 -635
4756 8151 -422
6065 6228 477
1258 5508 336
8622 3220 659
6996 7372 -13
1836 4282 233
1712 1503 -949
8 7033 83
1823 77 -585
5252 7622 838
7288 5334 -638
4652 265 465
4807 6422 -244
7646 6796 -348
3738 7761 -523
3200 5483 582
2955 4877 -999
8736 6706 470
596 2456 -542
4777 4792 -129
3687 6759 309
236 403 -588
3674 6153 -694
6043 4725 -32
2922 3877 -933
5329 5381 -511
5916 3262 -784
8591 8418 -510
8098 6715 439
4794 3199 -560
256 7987 -361
3147 3644 480
5158 3121 408
3295 8731 -440
5384 8749 -518
4277 6682 -937
8375 7162 -945
5425 1508 -430
2986 8235 63
3184 1858 -221
1491 2627 -482
1208 7957 505
3624 6620 -309
5411 3664 -749
1673 3450 -343
3201 5693 154
1927 3361 770
4622 6803 293
4015 4806 14
3872 2658 -520
1918 6096 -375
4615 2578 96
3979 5243 -323
5311 7819 343
3475 7169 -341
6076 7861 27
5690 3857 524
780 2823 971
3343 1806 -734
4696 299 700
7676 6065 -878
2103 3182 -738
3186 5518 -583
24 6659 205
1146 5805 -365
4712 6950 18
5393 4207 109
7482 1908 -865
6638 1458 343
4601 7474 -705
3790 5110 664
3009 7997 509
2648 7937 542
6302 8103 -597
2641 791 -323
5006 1652 745
1018 3789 779
8274 5115 144
6081 423 -47
5486 2144 -546
1412 6475 -69
5636 7788 -272
7590 8719 161
425 5847 -615
3207 2521 494
3296 2755 -431
4102 5139 634
846 6446 866
8696 8677 275
841 958 -385
3546 1264 -294
1175 2288 -991
1630 8491 978
5118 2156 337
7224 7644 568
1701 4333 -94
5035 1541 -966
5543 5104 867
3690 8679 -389
800 455 -567
8617 6182 -265
3048 4118 991
4791 4592 903
6591 3210 -617
2730 7037 -465
4879 1727 100
6134 7657 -731
293 100 -857
4343 3316 -215
1547 5219 945
3840 4793 -629
1091 3870 903
5705 2719 -708
5012 462 -299
2348 7055 70
4674 6411 -954
3311 2510 -794
4344 1065 610
3092 4626 -664
7858 7291 378
2185 6043 -533
7867 3319 138
7028 1272 -898
2439 7359 -135
6104 6549 -682
3685 3607 -314
1684 6342 -591
8534 5022 -670
2634 5970 171
5316 777 879
3549 5485 -615
5013 5572 351
370 4171 192
2888 4844 -14
3048 8745 214
8648 912 -358
8569 7685 -554
3336 3183 312
201 2330 252
3598 6367 991
6367 7348 795
2000 3101 502
156 2120 159
300 451 237
3039 5136 -190
2365 5367 -850
2742 2062 -909
548 4626 -924
7086 5254 124
7371 7122 824
573 1612 -399
5132 2704 95
3417 560 362
1362 5670 -532
331 6768 -353
6506 5826 719
1901 8560 -393
7758 215 338
3068 7289 -736
6074 5797 -543
150 1477 935
8640 974 57
8271 8383 -159
2413 851 950
7659 6312 -473
5431 4505 -922
2978 3059 -61
7894 1659 -748
8417 4491 790
2765 1561 82
3154 5080 -480
3346 3310 252
7344 6449 -752
3761 7191 -522
1908 8231 -945
3675 8607 613
5131 153 127
954 3316 98
59 5440 -670
7462 347 -945
5195 4221 793
6941 3228 611
5669 8008 -251
3753 7948 -834
2229 3604 929
5672 7269 -512
5695 8522 -64
6588 6034 -989
1034 8790 960
5572 8150 314
4657 8369 315
4367 1317 757
6480 2169 930
8412 1066 411
1313 6025 176
8354 5846 -239
7647 7327 333
427 3179 731
7126 7479 -909
2444 5978 867
3861 3345 -120
5489 1793 -66
1739 2418 766
8700 8404 188
634 4287 -939
1345 4059 427
8121 7142 -129
3947 6702 -146
6133 1096 -909
240 5804 426
3546 429 -887
5725 5001 -566
1111 585 -282
6969 88 870
7713 5015 655
4367 2364 -383
4153 2992 -926
2468 10 186
159 6507 167
5573 1729 782
6382 5860 -372
8148 6170 417
7251 4461 -375
5351 2935 -228
8025 8669 -921
1237 5583 -50
1159 393 -843
2099 7174 41
3759 6350 -794
2168 1627 889
2271 4968 -51
2132 6077 573
3651 5378 882
5554 3346 476
5610 8608 -863
95 1953 -118
6619 211 986
2897 7494 355
1900 6309 -228
2699 7460 149
1277 5829 -317
321 7228 -423
7329 3998 -266
5273 675 106
2471 6521 -779
7703 2481 441
2661 4998 720
8096 4101 -709
3047 331 -741
3994 2161 709
2399 7850 -556
5040 6960 929
4304 4491 495
7658 2411 -446
5150 7649 -441
6666 1092 393
4882 269 911
4445 7860 -209
6953 3995 619
8776 8219 -677
5615 2669 79
1185 5603 -185
3867 2404 -133
2551 3991 -892
808 7657 582
4084 5362 -67
7629 6887 428
6313 638 432
2265 2778 -885
118 7161 307
6700 6402 -571
8693 2513 673
3778 6983 689
7536 138 -177
7359 2635 843
847 5577 -190
6172 4971 817
1372 2008 89
3770 4959 -690
6028 231 725
8629 5996 391
4657 5769 686
7496 1412 -329
2305 8039 -807
3021 1672 -906
6789 1237 790
3369 188 576
305 5032 577
6501 2393 -670
7395 4338 534
5061 598 701
3091 5301 -463
5417 1722 -104
1011 8367 249
2012 2069 482
2356 265 858
841 664 280
7931 3491 944
2426 8580 -879
5257 2605 -573
4976 8384 674
3993 479 -791
998 3040 371
3560 4046 -290
4786 4804 909
6591 8450 646
5748 5508 1
1693 4340 -970
1310 4054 -871
5909 6136 303
3305 8474 307
7464 4490 10
1713 3326 624
5559 7520 484
6608 6181 536
2253 166 259
4137 6991 -820
3772 1607 -316
4479 331 997
5025 7606 663
7200 8786 410
6680 4489 -571
2507 1578 443
214 5985 -572
480 7537 669
8290 6192 769
3395 4200 -955
8579 515 673
5176 7772 -612
4742 3871 -646
6081 209 -899
3841 1735 58
5031 4635 -756
4622 5183 674
5968 2453 970
5938 1319 -592
5129 357 952
698 4733 360
6143 2063 -144
6449 5786 -402
5373 3475 -774
6663 2253 382
2302 5003 874
7528 106 -348
2807 6187 -78
1004 5610 -438
47 2431 592
3914 6276 -481
5459 4386 936
6626 6244 412
6942 2754 -779
3281 8702 -779
4033 1838 -484
5291 6074 140
3390 7384 -675
1908 6348 579
5660 7817 618
8198 5437 -342
1705 2838 -434
6985 6239 77
8427 7690 -344
2274 8424 -691
8726 289 -7
7168 4117 147
2277 7016 -477
2579 2751 301
6016 3464 984
1035 3197 477
3829 7965 -180
467 6221 273
8274 8766 767
8251 8302 -215
5335 1522 -473
2256 3465 -416
7578 3593 -115
4580 5708 794
4561 6599 -168
3545 4758 261
8233 1200 463
7921 3900 134
995 7470 -236
4639 3157 926
7164 4938 -109
2960 7501 67
688 6097 596
5852 6369 13
6980 5367 -974
436 6675 -239
3340 6571 -285
2321 3428 804
7504 8223 15
2367 3045 649
3341 1892 391
3415 8341 -338
7760 6202 -62
5740 5586 -737
3360 2914 -832
4425 4575 -124
5653 6145 159
1822 4582 136
1570 6271 -153
7696 3332 -28
4065 3712 -465
2201 6289 -59
4220 7996 900
705 5280 724
8398 3760 -476
3409 3209 -163
7982 585 59
2216 2944 -921
2880 5713 -773
4362 147 240
3719 6622 -169
2705 4703 -807
7326 4183 0
8124 2618 -690
7098 5747 -957
5341 4885 -68
752 8614 -745
6902 4154 754
8402 7716 192
837 7527 -568
6135 2610 146
7803 1608 -581
3670 1154 929
3992 8126 95
4738 2435 -533
8262 5848 -299
7118 3685 220
7872 3620 163
3686 8556 554
2151 227 -122
3233 4703 314
4946 154 -311
2847 4941 -682
1527 2510 135
4159 6284 453
5624 3568 68
737 8718 401
7859 3741 -717
8591 5726 876
2706 1091 -911
1957 183 698
2578 656 -199
6767 1096 -484
489 1997 995
1216 4999 650
7439 823 -211
3155 170 -31
7694 3796 -445
1541 8707 -617
1860 2255 961
7252 4635 -834
3355 3763 -502
43 7717 -734
3452 6262 -567
4811 1001 -632
6297 5582 -430
7632 5887 549
5872 1563 851
6522 3156 938
4809 8055 963
5486 919 520
2010 3720 591
6700 7730 -249
7815 4030 -740
520 4547 721
3859 4932 657
8068 2178 -304
6824 6092 -134
341 8023 119
468 7475 -592
5790 2022 785
101 159 766
1374 3354 -718
8395 3485 626
5713 578 -790
6237 7133 269
6677 1498 -227
5138 2441 -984
5443 7633 -68
40 3714 -533
7008 2049 -544
606 8646 293
3436 5157 338
7429 1362 37
3157 6328 653
7086 8035 -643
6703 7683 -25
1284 5717 641
2121 205 -907
118 842 168
125 3124 457
5465 6213 699
129 7412 490
3032 4321 -93
4162 7505 815
8579 112 969
1655 5185 651
6730 11 -782
6968 6596 -408
7151 4038 28
4474 2577 254
7688 3526 -854
6705 6867 213
5155 3393 694
116 7116 -233
8273 5658 -564
6343 2254 616
3352 7117 -84
7684 4834 -385
1039 4362 -680
3109 8247 -963
3747 877 -345
730 1180 -230
6906 3044 995
280 8152 -441
836 6096 253
6885 4930 -50
6163 2627 -848
1084 5965 -632
2296 5840 509
8630 3215 868
2162 4921 -212
631 670 -43
8454 4966 887
1614 5231 -753
3649 1917 -581
5516 2885 -546
1964 3644 386
7587 2617 -233
1637 7305 -930
7222 330 338
246 2072 -779
1435 8028 -707
8724 4178 283
7874 6323 -785
2705 1008 -506
4625 6391 913
1715 2551 -555
6390 1722 -264
6375 7198 -628
5894 3535 -697
4287 8189 -788
5999 7884 746
5737 3299 245
1033 1164 -223
6979 7641 170
2381 4413 -923
7025 5376 -184
8125 3096 223
1049 8654 -695
1918 977 -226
2715 2201 695
5407 5336 -253
2418 7092 944
7116 7440 155
2036 6316 -235
1234 8269 -814
8624 7674 964
613 4862 -575
8728 8268 -557
6783 1309 325
1483 5201 544
569 5289 567
8460 3263 -489
6408 2128 782
5552 3271 -763
2092 6762 -132
1744 7684 465
8008 6547 -445
4376 2231 -210
7549 1568 -745
8616 4167 -590
3706 5618 -134
4906 4178 966
7924 6364 509
3381 15 -259
29 7161 -309
7729 2307 596
3625 5091 309
798 3382 -831
4145 2275 121
7317 7313 -624
371 3771 426
2517 2154 45
5492 4175 -543
2534 5498 -451
5308 8096 -517
5074 6435 -630
1563 3920 -352
644 2858 365
888 537 749
4985 3295 141
2992 4977 -884
4760 2710 -30
595 1284 664
1149 6677 -475
1860 3352 239
1422 2232 601
3558 2477 953
6595 6756 -499
575 6102 309
1260 2766 -91
1632 5450 -930
3105 3136 -374
1652 3204 913
4182 1735 464
3910 2269 364
4487 123 -419
7550 8584 -860
2454 8165 -674
4304 3053 563
8484 1729 791
6497 7474 -190
5326 1768 -650
1564 3542 285
3081 3225 -693
1024 6114 56
6558 1182 16
3876 639 925
6133 1873 -929
8357 5068 802
8475 2106 821
2097 1151 249
8239 7708 35
1392 3216 853
6029 471 475
4704 3070 -243
4764 4624 176
7375 3748 967
3472 3642 973
7014 4871 305
2591 1148 428
8043 7573 -599
7102 736 -844
5396 1767 -544
2606 1503 -539
929 2961 94
5186 8511 -114
6341 5058 732
8392 1291 -59
5900 7473 990
5651 3554 -546
7357 6084 517
5542 5340 -434
171 7343 -657
6849 416 565
7938 3065 -479
2451 3285 -355
4148 1425 -308
4814 5506 820
209 194 955
8426 5177 -257
710 2314 935
1706 4344 -513
917 1148 493
2350 298 -965
1499 1085 60
4529 5524 -606
8521 7460 594
7263 7400 284
83 1355 -734
4606 5814 -313
5605 5785 -106
3424 4770 -215
3742 1296 -298
2486 96 748
6792 1872 -185
7772 7509 -919
7672 2399 -479
7913 4376 -719
25 8242 638
7300 1959 902
2890 7911 -439
7889 1707 -760
3512 2751 -95
4182 3214 501
4343 7511 87
3338 1692 678
3989 3112 -786
5493 7589 -21
6221 1716 -287
3714 2626 137
2999 3759 920
6575 1541 27
3242 7803 -770
4770 6790 -933
3658 2569 -12
5460 7182 404
2660 6199 896
4586 6580 -666
1565 1743 -73
7405 7786 57
1405 5869 -266
2700 3854 -435
3821 676 -826
5584 5102 -218
2982 8432 131
6942 4157 -733
7723 4521 237
3202 5862 982
595 1047 668
6509 8111 339
2706 6499 253
3682 6889 603
8592 5992 469
3009 6531 746
6087 64 459
115 3894 -648
7903 7575 -988
2255 7763 -482
6990 7831 -970
7465 4031 27
2947 8262 745
3405 6189 931
8466 384 -40
4368 3301 -593
4477 1572 926
3151 3566 -927
8711 6621 -648
6554 491 96
3254 1270 -406
6544 4638 -525
5066 7539 777
5287 3185 656
6009 7501 815
6206 1371 495
2256 4831 618
4177 8524 653
5427 7068 -658
1048 4077 -510
3165 5713 -735
4416 6361 3
6607 3532 969
3656 4404 475
6071 2732 930
1345 6557 171
6434 5000 774
5613 2632 -194
1077 3680 560
3309 183 188
2163 3014 17
8187 7668 -750
2860 7811 -449
1821 4322 -587
1862 6726 924
7653 1641 520
1931 5597 -430
1919 4389 642
6209 4862 -465
7369 6251 382
5695 3831 -479
8243 3775 604
7966 7783 -586
417 6948 510
8647 3447 -914
2929 6519 -593
4836 6098 254
3340 4812 678
7676 5205 -473
2045 8710 -876
6275 4609 220
5880 1493 -704
7349 278 832
3456 218 928
5281 7596 -981
5019 217 678
13 1515 -885
8069 2504 -310
3149 6659 153
8600 3763 172
1415 6627 -852
5981 5941 761
8744 1339 815
2292 1423 566
1110 3357 -164
7890 117 805
8561 6328 -970
744 6177 -544
2516 3091 236
3346 8707 625
7782 2845 904
1560 8348 -387
331 7332 275
8373 2118 546
168 6480 -290
1134 5507 -216
4220 355 474
7464 1431 280
5570 2741 -597
5935 2510 -146
6112 337 -253
86 7507 666
6785 1393 684
1632 6300 -193
7797 5673 -170
3190 5662 860
5631 815 -189
1000 1958 882
816 469 306
1574 8202 -203
6262 7698 -314
5571 4752 -225
7218 6501 717
5807 7430 131
1221 7677 -389
4409 8467 -650
3699 3998 719
8018 7923 733
8205 5430 -288
4753 7400 -83
6021 4269 859
8316 4839 -394
6868 1816 625
588 557 -256
3399 7922 -830
1246 4319 -444
8654 1617 768
774 3592 -976
4616 8116 -344
2518 1955 -244
8456 6667 576
5574 8003 -87
3534 4860 848
3435 1615 462
8734 3340 157
6193 1434 -978
1637 3732 542
1600 5111 998
7179 6091 578
3759 210 -26
6792 6135 933
6821 7035 -518
6972 286 174
3397 2202 525
8711 7928 -308
2314 3970 755
3869 2619 47
6484 7819 708
2925 2890 155
3933 4020 -273
3562 6201 -796
2841 5654 86
1667 1552 222
2194 5807 358
4870 5880 435
6905 2218 -287
7139 1604 177
4441 8773 -525
2420 7382 -870
8416 5255 269
7683 515 106
3801 8508 -60
2266 5349 -368
373 4961 -795
8114 2783 857
4604 1487 84
7406 8035 -659
4586 4082 -630
7766 2399 180
3788 2693 -163
6772 2728 -681
355 2498 993
757 6773 154
4373 3693 89
2308 6644 -4
5111 2171 522
5527 3701 861
8748 5729 -6
1225 5686 649
6588 2353 -628
5410 1940 186
6654 6451 -650
3272 3082 -432
6593 2453 714
3695 3468 -670
715 1881 -48
6996 754 -251
65 1134 -902
365 1111 -15
2169 1816 572
6058 2251 -962
7231 7567 256
6261 2956 -101
225 6481 119
8161 5909 -648
1032 2281 872
3938 159 920
6830 7376 -506
8538 2771 936
1570 3404 -467
7465 6663 594
8401 5768 586
959 4346 -33
1548 1264 -108
164 4185 730
1974 5257 393
1883 5196 -550
7142 8015 142
4252 1280 794
3413 2522 -854
4921 7020 -679
3166 6134 -145
441 2060 -115
3485 8418 -696
2451 2188 889
5144 2340 -76
3610 612 804
6140 4251 380
3417 8668 -246
5171 363 -699
5461 2316 -229
2422 1477 -772
2254 6243 -192
1253 8496 762
4813 5370 668
4631 3605 728
3966 4404 -772
4087 5442 -442
7946 7147 -136
7490 2472 332
8046 7357 94
1772 1855 -541
3909 5996 -958
4102 139 347
6886 4941 844
5645 6497 -80
442 4169 -150
3134 5065 -191
6038 4877 -628
8405 56 -58
1902 6968 -983
4550 7916 722
5921 775 -203
1615 4912 130
5879 7969 165
5161 7243 -796
6340 2134 544
6342 8564 866
4616 3824 -529
6270 4256 -810
2795 4265 857
1226 672 -286
4834 8643 978
4281 4182 -319
1060 4598 -738
3181 1629 488
3270 2832 -343
5795 871 -880
7853 4728 250
7824 694 -999
1186 6363 -210
4142 6530 -1000
3054 973 432
2760 5265 547
1033 1605 -401
371 1069 -812
5342 3153 113
8102 2096 -620
3092 621 408
607 7571 301
2603 3189 210
7252 861 45
8227 5765 829
3834 6991 -243
6856 7218 99
3282 4739 -27
445 8585 -588
5291 4032 -36
7877 3822 -144
724 7378 -29
1210 723 751
1463 1802 591
5847 299 978
6880 4872 -93
4108 1327 756
8633 6759 723
4808 642 -544
3177 2242 -569
2514 5554 -841
3337 333 -924
8016 201 -353
2492 654 -132
8437 3771 -511
2168 6090 961
8140 7567 -598
2681 2617 -227
5718 1487 632
5254 2160 -163
506 3484 -274
6331 473 858
2600 6822 507
374 740 594
7340 4268 -835
93 7037 881
6423 5666 345
4630 1837 -568
6548 2960 587
1748 311 797
4834 537 843
1157 8539 -759
3459 6131 -250
393 1293 811
5557 4676 -176
4577 1185 -884
1227 217 -523
507 7857 54
3319 5841 411
5472 5029 -754
8267 2429 311
2430 1918 -921
1192 1163 -160
6585 6481 560
7411 2720 889
7291 2852 -548
2029 7194 515
7436 7540 601
7203 471 681
6447 4987 606
1920 6854 18
2818 1994 -257
5724 2630 -408
6874 3610 -976
6277 835 202
5367 3457 381
2186 7062 -947
2802 1622 -944
5015 726 938
8062 6389 -556
4159 3667 -270
7132 4334 -348
1563 3259 965
6951 636 578
3471 7319 520
5244 4257 -789
6070 5556 74
4271 1553 406
6153 7576 153
3137 1777 762
4438 3232 800
8167 7690 822
6835 1906 540
3353 3931 -643
413 5581 739
4025 8708 -36
5637 6030 -243
6583 255 288
2041 1474 785
8144 3890 160
7417 1633 640
7098 2611 361
8487 43 562
2435 2844 22
5975 8703 -903
5638 8550 -403
3078 7452 850
7208 2565 222
4375 1125 -858
2248 1825 -685
194 1686 261
7284 6627 561
4692 2642 -291
2077 8211 205
5667 2710 -47
2225 227 356
3197 5076 59
4806 5956 502
8418 5128 -951
826 2486 286
7091 1661 554
8098 5761 -456
8239 6263 -154
2730 219 706
920 3198 -841
4995 7700 75
2322 3284 -489
283 6231 -943
4004 6029 283
642 8461 779
2420 2667 869
1624 4933 977
2403 6324 143
4001 2255 782
2870 889 630
6640 4931 383
8536 3482 208
4595 4876 411
4012 4980 -375
7027 7759 391
7666 5366 -314
6504 144 -551
6595 8088 273
8587 1875 -708
5308 1259 -470
8197 1894 975
3138 8030 692
5173 7188 747
2620 7134 417
1010 5917 951
3892 183 -166
6359 2449 77
5927 4328 857
3250 7961 -122
4360 8483 -721
8281 6594 -843
7156 6845 -367
5840 7487 699
3311 6895 595
4686 3 -79
8537 4026 -182
1751 1525 989
5331 4795 310
7271 7953 -727
2958 1586 304
1167 4237 202
891 4032 204
6876 892 952
3708 8288 -946
1930 1300 -510
3019 4963 -289
8324 5829 -146
6649 6500 -129
7140 2950 -538
8515 3492 929
5250 5716 -248
3137 488 -743
1279 5580 -714
8527 1133 -709
4113 4061 253
4103 8227 502
4955 2258 -253
437 5959 -141
5689 7111 714
6063 5822 -588
4794 524 602
272 4342 930
1338 5021 -537
946 2985 -62
4660 4654 -821
3883 19 631
4287 3700 -637
1661 5751 203
4127 4856 -122
5899 6871 -209
6143 4587 -326
1675 8183 -1000
2069 720 978
3986 3961 175
35 5943 -475
2922 575 309
7337 5051 985
2550 8328 -979
4975 2862 99
5979 6436 418
4903 7845 56
1435 7820 751
6256 3711 1
7650 8057 569
2056 8082 431
3367 1086 231
6283 4967 274
2598 1701 -118
2675 4091 745
1086 8238 -823
1772 7549 -137
2968 7338 -754
148 772 -866
4021 8282 -136
3240 7590 329
8672 2222 -330
7477 3954 987
2995 26 -552
5826 5485 814
121 4993 112
8607 4795 -347
5290 1147 -389
4811 2438 -389
6738 4628 661
7569 8426 -550
8487 8188 79
6776 1677 -395
8776 7805 540
6830 4852 47
8782 7853 -516
8307 6988 34
6333 7627 687
3308 5077 -702
3076 1581 990
1666 2982 275
880 1231 416
4167 1664 -994
4492 7623 -844
1582 6325 -497
7393 4571 -673
6857 5528 48
4520 8026 717
1835 740 686
6605 6949 -993
3219 3940 -541
1572 4514 257
3039 5742 907
4466 34 -540
130 4187 -849
1662 6807 -874
1536 6773 -149
7704 4373 -153
7902 6914 617
1577 597 -17
1376 5081 887
7912 1629 626
3622 562 721
452 636 -93
5746 8524 181
8613 6615 282
8220 6368 -703
474 1199 745
5808 4311 257
2318 4795 -475
3942 6633 717
421 6371 -834
229 1547 169
7738 7556 214
4430 1287 632
4487 7974 -119
8165 7457 724
2307 3196 746
882 8465 339
615 4674 -235
2914 4727 443
3638 6614 -956
768 892 -529
