966 979
802 685 -400
383 326 997
650 764 103
559 582 -623
122 427 -902
934 860 -547
299 462 -231
925 610 682
51 959 32
48 953 -780
934 458 506
818 20 339
770 144 -285
513 840 308
193 761 -700
675 749 809
924 251 705
65 747 -495
875 741 296
411 753 -492
351 405 395
714 164 -909
551 201 826
240 705 799
405 815 463
382 623 -673
860 569 836
913 921 -130
70 281 -428
796 719 -561
502 961 910
912 727 309
960 670 -103
674 58 -860
409 780 548
340 99 -793
922 727 927
468 939 883
893 113 429
517 14 -39
963 843 753
795 533 580
523 156 -586
95 284 -129
348 46 687
846 313 -279
34 856 442
111 408 -88
108 750 723
863 165 597
307 935 -685
343 434 128
628 446 -230
238 453 -361
749 832 65
25 29 -753
467 307 -434
773 337 -85
777 483 790
313 278 469
766 457 -222
598 20 -302
232 755 804
721 328 997
379 682 -388
801 629 -568
736 310 92
819 833 -736
54 284 258
641 68 864
507 954 311
150 889 -626
566 548 -482
44 910 -645
593 793 864
187 1 -656
378 206 552
833 437 187
373 106 -857
655 862 608
825 86 -444
820 21 -905
730 934 -659
38 81 -318
813 426 -743
155 198 -808
391 477 786
571 524 -191
464 783 261
511 100 368
758 636 -510
531 855 938
873 806 -185
206 731 -967
664 608 -468
663 27 211
115 520 408
812 423 81
49 788 588
79 869 -666
510 779 -826
332 313 -884
703 41 4
864 59 959
704 172 -793
925 73 -130
571 720 -534
892 122 956
312 553 904
889 743 -648
41 564 -852
60 280 -878
210 203 748
848 400 -255
545 103 -970
225 319 -402
666 667 -162
699 815 258
735 948 -2
692 593 -703
591 679 -702
660 514 -460
530 311 -724
37 208 369
387 210 -953
478 959 927
785 282 310
500 332 -617
939 824 -711
545 60 -47
685 958 -319
80 162 -687
788 329 915
905 532 -76
610 339 -594
696 712 -151
811 626 79
110 428 -15
455 7 -86
174 810 -19
565 266 -753
965 279 -181
322 367 107
349 172 210
130 32 298
941 429 399
117 823 858
429 597 -155
174 794 -876
189 811 281
575 901 -601
820 497 -199
223 722 -382
702 513 -234
865 891 143
136 296 313
611 368 -260
530 396 -88
543 717 413
577 932 61
897 296 164
560 391 -573
276 682 473
953 829 -80
451 130 -446
956 325 943
371 637 -254
47 572 359
889 756 -468
809 662 115
347 361 516
915 280 -867
646 898 548
133 829 136
815 421 -857
474 153 -776
354 281 -661
51 49 -307
360 221 565
129 713 -102
123 904 117
910 329 198
164 504 529
640 276 458
207 429 -367
843 9 -830
489 788 706
434 660 955
243 925 684
879 52 725
83 54 495
378 483 697
174 155 -361
791 548 -862
522 506 -197
750 688 402
790 530 -567
354 527 -920
281 288 669
669 595 -778
862 579 601
700 650 -438
38 344 -92
569 837 -679
765 297 182
564 477 466
795 502 959
748 710 -646
521 101 19
725 941 116
956 736 -672
937 727 993
874 85 442
956 574 534
373 792 -560
698 90 87
473 881 -608
617 88 496
566 177 139
273 718 628
688 639 849
774 921 -564
518 583 153
209 352 198
930 444 744
914 492 187
851 37 -596
865 740 435
771 201 131
97 501 -161
786 202 -12
773 928 -829
603 908 981
259 948 -293
228 779 -504
290 257 458
675 148 -47
905 186 -392
929 114 54
361 218 237
301 678 100
357 125 -774
210 460 379
96 372 806
86 719 575
28 887 -281
613 20 -266
867 937 700
194 639 512
909 259 -388
699 556 -431
839 284 -690
207 953 819
936 386 -18
586 566 -37
863 710 223
836 229 -322
519 565 820
949 100 749
525 819 -628
253 706 -689
557 689 663
356 232 470
67 539 882
943 599 536
753 131 -809
300 476 954
230 397 -324
18 394 -419
558 907 309
488 580 -153
944 421 791
63 919 -189
166 344 -712
91 64 568
795 484 -949
484 10 -47
366 449 161
254 379 230
721 449 17
361 437 -639
455 234 851
212 263 139
132 851 196
754 804 709
550 122 -823
809 185 849
38 683 -768
359 156 788
192 200 -497
897 253 -213
440 13 847
497 590 -347
757 661 -313
785 593 315
240 620 -15
153 797 33
833 139 140
98 682 -151
796 50 500
321 744 -661
487 942 975
279 481 41
552 573 -939
720 947 -755
220 803 226
479 606 866
568 343 187
412 380 687
682 640 -905
503 21 139
434 638 -66
129 704 844
421 150 -675
16 726 153
387 667 898
269 171 845
770 541 -909
579 391 -529
527 829 716
950 679 922
84 524 234
279 248 385
412 815 816
952 736 835
298 643 -441
500 135 264
86 950 899
220 94 286
951 226 947
786 791 -189
213 114 356
441 480 -306
312 960 910
595 868 44
543 737 222
611 398 -198
673 825 451
876 935 244
671 471 -668
284 279 962
142 295 34
553 558 -809
643 726 442
28 227 938
882 407 -700
301 857 932
319 76 48
383 338 921
273 333 515
614 521 278
542 143 -917
756 372 -287
454 686 -273
880 650 887
159 15 179
884 937 -420
49 801 30
895 536 623
201 603 -899
170 899 858
128 768 -648
398 685 206
681 495 140
89 715 810
14 698 914
944 297 -340
891 698 356
921 268 -554
337 604 -843
316 98 -981
690 699 -483
49 864 394
577 425 38
166 886 -34
229 365 -413
755 857 -279
537 641 -151
485 153 544
875 754 654
578 925 -119
826 667 117
628 790 -258
259 507 842
252 381 666
217 815 -179
285 63 -582
179 27 -929
631 311 653
942 632 -153
89 713 828
286 488 666
828 687 -470
679 54 -612
431 616 -201
866 688 788
333 256 542
321 50 -10
923 305 210
317 889 978
704 191 668
400 642 54
554 241 -352
714 388 156
202 393 988
301 755 -101
421 444 38
172 111 -728
224 102 -964
493 5 -975
837 228 -316
241 476 -590
806 833 -305
364 610 -945
544 94 796
286 339 -916
207 435 -375
150 166 -828
529 645 -279
610 928 38
421 962 -842
222 153 -944
455 412 -89
3 438 312
472 737 949
662 863 -955
610 62 610
201 701 65
962 481 569
819 330 -959
446 496 -92
42 196 141
671 884 467
887 916 -590
407 215 -319
898 303 -977
571 788 -127
84 897 -944
336 399 -844
880 633 135
599 948 891
795 254 620
529 494 -150
777 343 -744
728 54 376
848 938 -694
801 325 -33
56 446 244
255 642 569
277 444 -385
142 94 -922
792 916 -189
897 23 357
335 380 265
529 149 -251
537 107 556
241 743 -10
592 360 11
618 546 694
1 379 -323
376 642 -241
688 702 409
705 546 -549
416 398 -913
449 757 141
436 426 384
953 41 -553
487 869 731
893 832 333
811 813 649
661 953 -702
900 659 -912
248 924 675
154 789 143
821 281 -140
172 480 475
748 884 -80
202 719 662
42 489 -659
914 812 -805
526 557 790
559 594 750
956 488 -66
597 385 977
884 416 -760
91 168 -990
934 855 -773
482 219 33
685 650 -516
744 510 901
895 711 -797
254 937 307
562 195 448
660 659 673
924 205 444
861 16 511
882 505 9
966 766 563
338 580 -110
589 515 -463
707 496 -144
119 519 622
840 544 465
631 56 592
483 422 885
164 560 306
375 137 -868
239 376 -790
395 30 -309
98 667 -666
820 373 112
556 169 259
209 777 -738
862 124 -295
690 486 -54
904 260 -303
119 738 -930
809 520 -3
297 766 -839
572 388 -629
805 852 24
294 609 325
500 273 -894
433 473 740
604 324 -626
617 283 263
450 602 758
408 79 -899
65 108 -628
704 328 -706
800 289 291
846 907 -369
522 831 -213
484 866 804
46 112 -882
655 424 794
560 672 -497
240 113 -575
271 285 631
127 937 524
934 827 -466
367 575 -356
263 571 918
905 245 612
13 227 472
813 422 926
604 821 -859
169 294 -23
297 601 -525
790 438 -693
551 613 681
409 350 -695
788 255 -27
181 821 480
618 424 502
813 677 661
3 96 -551
649 504 -892
449 915 -334
33 767 719
287 905 72
393 798 -634
228 423 -589
1 317 -877
723 13 -257
760 804 769
631 548 497
337 900 590
543 685 59
388 338 379
966 362 -720
141 373 836
609 306 828
450 434 -562
360 252 -807
423 45 253
468 864 -656
411 874 872
245 271 265
611 627 -138
456 119 589
525 885 -626
749 796 732
724 102 -555
183 98 -172
542 394 -954
562 898 -397
669 388 -313
100 879 -70
503 194 -807
423 202 -373
887 450 -398
953 210 707
151 351 -69
197 119 798
4 196 60
966 793 694
35 191 591
597 155 578
249 296 -934
339 92 -456
297 556 36
388 280 -198
947 446 -970
542 712 -636
9 966 31
486 301 -82
328 731 654
795 439 774
479 239 -516
156 455 217
166 524 658
350 910 980
413 713 -840
677 108 829
62 470 -611
404 477 -343
830 487 750
897 24 92
707 17 -704
874 894 327
4 332 -436
653 697 -590
516 572 -183
757 528 -534
905 228 -201
805 953 -533
610 726 -662
257 285 306
676 362 690
940 337 58
945 562 485
889 152 -930
329 792 177
86 674 -985
675 909 35
674 589 -559
220 917 238
833 95 -619
861 448 590
564 441 65
55 809 599
612 958 -155
328 563 -191
320 590 287
481 457 297
598 806 756
285 383 -830
71 421 -846
135 762 -236
126 679 -579
8 762 996
304 643 948
679 35 -946
514 855 946
883 747 518
600 830 685
155 253 302
901 713 880
851 316 -42
634 921 -135
250 796 -537
784 459 190
156 588 -324
914 26 412
248 719 -412
679 901 662
843 863 501
347 705 -896
609 672 777
472 440 356
144 877 -644
350 249 622
947 868 -874
712 366 472
53 33 570
76 917 212
471 818 610
68 786 -996
918 293 868
495 14 -373
311 413 672
313 923 -249
895 192 -944
936 52 -849
782 216 -38
751 921 -191
351 306 -201
704 114 486
795 330 -140
821 512 541
370 600 919
955 55 820
592 646 792
27 913 -963
583 62 -755
604 791 -486
104 727 -238
622 106 794
954 943 -785
82 910 -225
860 938 -222
140 952 886
140 54 -598
905 755 512
397 657 -677
725 175 911
45 207 -21
309 369 373
372 33 627
925 298 490
441 439 -529
165 255 340
915 939 -829
205 343 -838
318 97 971
565 738 327
91 866 697
105 747 993
19 897 -979
836 523 41
784 302 891
267 269 374
757 799 -986
642 554 699
321 855 -40
895 626 219
673 460 100
3 636 121
399 710 65
320 853 721
866 599 643
259 959 626
413 448 11
761 91 -277
219 558 789
126 61 420
955 132 205
678 134 989
473 639 898
324 157 -266
123 108 177
110 692 -108
105 327 700
26 679 -962
835 153 266
942 875 -513
354 48 241
361 537 629
38 850 -955
712 879 -839
548 711 743
917 383 955
501 736 -425
442 429 -755
908 436 -500
606 15 884
417 775 975
884 103 912
302 3 688
465 31 159
412 50 -722
109 505 -348
873 343 699
111 791 -445
894 788 -760
725 807 -904
723 706 754
742 216 454
153 739 -575
296 619 -945
69 323 -609
802 119 578
96 930 -425
198 421 -493
495 156 -307
57 294 502
352 509 -556
116 839 117
785 10 126
651 82 143
157 187 463
766 709 654
807 413 -368
394 738 -683
50 386 -113
785 59 -387
597 388 -869
589 28 350
631 134 -161
48 262 94
210 788 231
894 191 -668
774 135 305
930 103 -994
33 946 103
58 29 -450
607 106 -964
936 510 26
412 876 -262
788 844 763
405 483 -446
38 487 794
939 49 311
486 427 -6
696 292 627
114 721 -240
478 1 39
